triplestore;dataset;batch;cnt_batch_trpls;chunk_size;execution_time
GRAPHDB;bearc;negative_change_set_3;295548;7000;144.63815259933472
GRAPHDB;bearc;positive_change_set_4;277024;7000;142.52315950393677
GRAPHDB;bearc;negative_change_set_4;274320;7000;137.54669547080994
GRAPHDB;bearc;positive_change_set_5;277693;7000;143.8739790916443
GRAPHDB;bearc;negative_change_set_5;276654;7000;136.1636245250702
GRAPHDB;bearc;positive_change_set_6;282886;7000;146.61228156089783
GRAPHDB;bearc;negative_change_set_6;277790;7000;136.430011510849
GRAPHDB;bearc;positive_change_set_7;337902;7000;179.5307092666626
GRAPHDB;bearc;negative_change_set_7;306592;7000;150.91139101982117
GRAPHDB;bearc;positive_change_set_8;293905;7000;156.15507626533508
GRAPHDB;bearc;negative_change_set_8;293479;7000;148.02245998382568
GRAPHDB;bearc;positive_change_set_9;335350;7000;173.92361879348755
GRAPHDB;bearc;negative_change_set_9;333095;7000;162.09082651138306
GRAPHDB;bearc;positive_change_set_10;335738;7000;177.40355014801025
GRAPHDB;bearc;negative_change_set_10;334905;7000;164.70124650001526
GRAPHDB;bearc;positive_change_set_11;338753;7000;180.71038246154785
GRAPHDB;bearc;negative_change_set_11;335954;7000;168.20114421844482
GRAPHDB;bearc;positive_change_set_12;126098;7000;68.5571072101593
GRAPHDB;bearc;negative_change_set_12;125657;7000;78.630202293396
GRAPHDB;bearc;positive_change_set_13;339237;7000;180.07801747322083
GRAPHDB;bearc;negative_change_set_13;338634;7000;170.54242825508118
GRAPHDB;bearc;positive_change_set_14;338935;7000;186.541485786438
GRAPHDB;bearc;negative_change_set_14;338603;7000;168.86843395233154
GRAPHDB;bearc;positive_change_set_15;340397;7000;179.31980323791504
GRAPHDB;bearc;negative_change_set_15;336309;7000;164.27148628234863
GRAPHDB;bearc;positive_change_set_16;334232;7000;189.53386521339417
GRAPHDB;bearc;negative_change_set_16;334829;7000;193.46278762817383
GRAPHDB;bearc;positive_change_set_17;335428;7000;180.1184594631195
GRAPHDB;bearc;negative_change_set_17;334012;7000;169.91677832603455
GRAPHDB;bearc;positive_change_set_18;335573;7000;180.8678641319275
GRAPHDB;bearc;negative_change_set_18;335238;7000;176.03979802131653
GRAPHDB;bearc;positive_change_set_19;331202;7000;194.14489364624023
GRAPHDB;bearc;negative_change_set_19;330369;7000;183.69841313362122
GRAPHDB;bearc;positive_change_set_20;339424;7000;184.62740874290466
GRAPHDB;bearc;negative_change_set_20;337199;7000;179.79939699172974
GRAPHDB;bearc;positive_change_set_21;336305;7000;190.8371548652649
GRAPHDB;bearc;negative_change_set_21;335885;7000;174.41168665885925
GRAPHDB;bearc;positive_change_set_22;337146;7000;191.0696096420288
GRAPHDB;bearc;negative_change_set_22;336103;7000;173.40481853485107
GRAPHDB;bearc;positive_change_set_23;338516;7000;184.8178460597992
GRAPHDB;bearc;negative_change_set_23;336525;7000;175.74194025993347
GRAPHDB;bearc;positive_change_set_24;332618;7000;183.14966750144958
GRAPHDB;bearc;negative_change_set_24;330615;7000;171.5331585407257
GRAPHDB;bearc;positive_change_set_25;313803;7000;169.60837817192078
GRAPHDB;bearc;negative_change_set_25;296078;7000;167.5322630405426
GRAPHDB;bearc;positive_change_set_26;349291;7000;201.9982841014862
GRAPHDB;bearc;negative_change_set_26;363968;7000;193.03264451026917
GRAPHDB;bearc;positive_change_set_27;80372;7000;48.06843018531799
GRAPHDB;bearc;negative_change_set_27;80351;7000;63.315834760665894
GRAPHDB;bearc;positive_change_set_28;24653;7000;14.726575136184692
GRAPHDB;bearc;negative_change_set_28;18545;7000;19.479381322860718
GRAPHDB;bearc;positive_change_set_29;290911;7000;161.20059871673584
GRAPHDB;bearc;negative_change_set_29;290442;7000;158.0963237285614
GRAPHDB;bearc;positive_change_set_30;292379;7000;165.28571605682373
GRAPHDB;bearc;negative_change_set_30;291218;7000;155.62351393699646
GRAPHDB;bearc;positive_change_set_31;33958;7000;21.965982913970947
GRAPHDB;bearc;negative_change_set_31;33877;7000;32.03155493736267
GRAPHDB;bearc;positive_change_set_32;43904;7000;27.820327758789062
GRAPHDB;bearc;negative_change_set_32;43794;7000;43.160361766815186
GRAPHDB;bearc;snapshot_0;485178;8000;274.8071722984314
GRAPHDB;bearc;positive_change_set_1;273716;8000;132.35646677017212
GRAPHDB;bearc;negative_change_set_1;273294;8000;143.49947953224182
GRAPHDB;bearc;positive_change_set_2;279461;8000;136.90625405311584
GRAPHDB;bearc;negative_change_set_2;277422;8000;130.99184894561768
GRAPHDB;bearc;positive_change_set_3;299053;8000;157.22262573242188
GRAPHDB;bearc;negative_change_set_3;295548;8000;150.9818193912506
GRAPHDB;bearc;positive_change_set_4;277024;8000;140.66414761543274
GRAPHDB;bearc;negative_change_set_4;274320;8000;139.71660900115967
GRAPHDB;bearc;positive_change_set_5;277693;8000;139.10928201675415
GRAPHDB;bearc;negative_change_set_5;276654;8000;138.67410731315613
GRAPHDB;bearc;positive_change_set_6;282886;8000;142.14105558395386
GRAPHDB;bearc;negative_change_set_6;277790;8000;138.8697328567505
GRAPHDB;bearc;positive_change_set_7;337902;8000;187.59011101722717
GRAPHDB;bearc;negative_change_set_7;306592;8000;152.5538067817688
GRAPHDB;bearc;positive_change_set_8;293905;8000;169.7618112564087
GRAPHDB;bearc;negative_change_set_8;293479;8000;148.44993782043457
GRAPHDB;bearc;positive_change_set_9;335350;8000;193.07808542251587
GRAPHDB;bearc;negative_change_set_9;333095;8000;178.2416136264801
GRAPHDB;bearc;positive_change_set_10;335738;8000;216.97863698005676
GRAPHDB;bearc;negative_change_set_10;334905;8000;158.14577722549438
GRAPHDB;bearc;positive_change_set_11;338753;8000;214.09701657295227
GRAPHDB;bearc;negative_change_set_11;335954;8000;172.85379433631897
GRAPHDB;bearc;positive_change_set_12;126098;8000;75.5967447757721
GRAPHDB;bearc;negative_change_set_12;125657;8000;82.61057424545288
GRAPHDB;bearc;positive_change_set_13;339237;8000;197.8283703327179
GRAPHDB;bearc;negative_change_set_13;338634;8000;171.9798755645752
GRAPHDB;bearc;positive_change_set_14;338935;8000;181.83840465545654
GRAPHDB;bearc;negative_change_set_14;338603;8000;168.9128713607788
GRAPHDB;bearc;positive_change_set_15;340397;8000;189.01178121566772
GRAPHDB;bearc;negative_change_set_15;336309;8000;166.19705939292908
GRAPHDB;bearc;positive_change_set_16;334232;8000;196.8359088897705
GRAPHDB;bearc;negative_change_set_16;334829;8000;166.25023007392883
GRAPHDB;bearc;positive_change_set_17;335428;8000;193.0525245666504
GRAPHDB;bearc;negative_change_set_17;334012;8000;167.3572165966034
GRAPHDB;bearc;positive_change_set_18;335573;8000;199.3792474269867
GRAPHDB;bearc;negative_change_set_18;335238;8000;171.29923343658447
GRAPHDB;bearc;positive_change_set_19;331202;8000;181.26145195960999
GRAPHDB;bearc;negative_change_set_19;330369;8000;166.632404088974
GRAPHDB;bearc;positive_change_set_20;339424;8000;186.45768570899963
GRAPHDB;bearc;negative_change_set_20;337199;8000;169.19398736953735
GRAPHDB;bearc;positive_change_set_21;336305;8000;185.22230672836304
GRAPHDB;bearc;negative_change_set_21;335885;8000;167.28249335289001
GRAPHDB;bearc;positive_change_set_22;337146;8000;193.70710492134094
GRAPHDB;bearc;negative_change_set_22;336103;8000;166.2940492630005
GRAPHDB;bearc;positive_change_set_23;338516;8000;189.91065979003906
GRAPHDB;bearc;negative_change_set_23;336525;8000;166.42041063308716
GRAPHDB;bearc;positive_change_set_24;332618;8000;188.08237385749817
GRAPHDB;bearc;negative_change_set_24;330615;8000;182.99578166007996
GRAPHDB;bearc;positive_change_set_25;313803;8000;201.4270887374878
GRAPHDB;bearc;negative_change_set_25;296078;8000;182.56785583496094
GRAPHDB;bearc;positive_change_set_26;349291;8000;193.60107231140137
GRAPHDB;bearc;negative_change_set_26;363968;8000;189.83497285842896
GRAPHDB;bearc;positive_change_set_27;80372;8000;60.035592794418335
GRAPHDB;bearc;negative_change_set_27;80351;8000;68.66081261634827
GRAPHDB;bearc;positive_change_set_28;24653;8000;14.803988218307495
GRAPHDB;bearc;negative_change_set_28;18545;8000;19.453240156173706
GRAPHDB;bearc;positive_change_set_29;290911;8000;175.76923513412476
GRAPHDB;bearc;negative_change_set_29;290442;8000;151.85996675491333
GRAPHDB;bearc;positive_change_set_30;292379;8000;164.38428282737732
GRAPHDB;bearc;negative_change_set_30;291218;8000;160.0407931804657
GRAPHDB;bearc;positive_change_set_31;33958;8000;22.13996434211731
GRAPHDB;bearc;negative_change_set_31;33877;8000;30.049049854278564
GRAPHDB;bearc;positive_change_set_32;43904;8000;27.693174123764038
GRAPHDB;bearc;negative_change_set_32;43794;8000;36.19391703605652
